name,latitude,longitude,wkt,street,side,length_m,est_spaces,zone
Northwest 9th Avenue (left),25.7786995,-80.2095319,"POLYGON((-80.2095548 25.7788813, -80.2095349 25.7785165, -80.2095090 25.7785177, -80.2095289 25.7788824, -80.2095548 25.7788813))",Northwest 9th Avenue,left,40.6,3,
Northwest 9th Avenue (right),25.7786954,-80.2096236,"POLYGON((-80.2096465 25.7788772, -80.2096266 25.7785125, -80.2096007 25.7785136, -80.2096206 25.7788784, -80.2096465 25.7788772))",Northwest 9th Avenue,right,40.6,3,
Northwest 9th Avenue (left),25.7780328,-80.2095055,"POLYGON((-80.2095349 25.7785160, -80.2095021 25.7775489, -80.2094762 25.7775496, -80.2095090 25.7785167, -80.2095349 25.7785160))",Northwest 9th Avenue,left,107.7,13,
Northwest 9th Avenue (right),25.7780303,-80.2095973,"POLYGON((-80.2096266 25.7785135, -80.2095938 25.7775464, -80.2095679 25.7775471, -80.2096007 25.7785142, -80.2096266 25.7785135))",Northwest 9th Avenue,right,107.7,13,
Northwest 9th Avenue (left),25.7770720,-80.2094729,"POLYGON((-80.2095021 25.7775489, -80.2094697 25.7765943, -80.2094438 25.7765950, -80.2094762 25.7775496, -80.2095021 25.7775489))",Northwest 9th Avenue,left,106.3,13,
Northwest 9th Avenue (right),25.7770694,-80.2095647,"POLYGON((-80.2095938 25.7775464, -80.2095614 25.7765918, -80.2095355 25.7765925, -80.2095679 25.7775471, -80.2095938 25.7775464))",Northwest 9th Avenue,right,106.3,13,
Northwest 9th Avenue (left),25.7761113,-80.2094409,"POLYGON((-80.2094697 25.7765943, -80.2094381 25.7756276, -80.2094122 25.7756283, -80.2094438 25.7765950, -80.2094697 25.7765943))",Northwest 9th Avenue,left,107.7,13,
Northwest 9th Avenue (right),25.7761088,-80.2095327,"POLYGON((-80.2095614 25.7765918, -80.2095298 25.7756251, -80.2095039 25.7756258, -80.2095355 25.7765925, -80.2095614 25.7765918))",Northwest 9th Avenue,right,107.7,13,
Northwest 9th Avenue (left),25.7751474,-80.2094056,"POLYGON((-80.2094381 25.7756278, -80.2093991 25.7746661, -80.2093732 25.7746669, -80.2094122 25.7756286, -80.2094381 25.7756278))",Northwest 9th Avenue,left,107.1,13,
Northwest 9th Avenue (right),25.7751443,-80.2094974,"POLYGON((-80.2095298 25.7756248, -80.2094908 25.7746631, -80.2094649 25.7746639, -80.2095039 25.7756256, -80.2095298 25.7756248))",Northwest 9th Avenue,right,107.1,13,
Southwest 19th Road (left),25.7574135,-80.2006988,"POLYGON((-80.2003661 25.7570428, -80.2010110 25.7577984, -80.2010316 25.7577842, -80.2003867 25.7570286, -80.2003661 25.7570428))",Southwest 19th Road,left,106.1,13,
Southwest 19th Road (right),25.7574639,-80.2006261,"POLYGON((-80.2002933 25.7570932, -80.2009382 25.7578488, -80.2009588 25.7578346, -80.2003139 25.7570790, -80.2002933 25.7570932))",Southwest 19th Road,right,106.1,13,
Southwest 19th Road (left),25.7579762,-80.2011742,"POLYGON((-80.2010113 25.7577988, -80.2013164 25.7581675, -80.2013372 25.7581535, -80.2010321 25.7577848, -80.2010113 25.7577988))",Southwest 19th Road,left,51.2,5,
Southwest 19th Road (right),25.7580255,-80.2011007,"POLYGON((-80.2009377 25.7578482, -80.2012428 25.7582169, -80.2012636 25.7582029, -80.2009585 25.7578342, -80.2009377 25.7578482))",Southwest 19th Road,right,51.2,5,
Southwest 19th Road (left),25.7583649,-80.2014968,"POLYGON((-80.2013163 25.7581674, -80.2016565 25.7585764, -80.2016773 25.7585624, -80.2013371 25.7581534, -80.2013163 25.7581674))",Southwest 19th Road,left,56.9,6,
Southwest 19th Road (right),25.7584145,-80.2014234,"POLYGON((-80.2012429 25.7582170, -80.2015831 25.7586260, -80.2016039 25.7586120, -80.2012637 25.7582030, -80.2012429 25.7582170))",Southwest 19th Road,right,56.9,6,
Southwest 19th Road (left),25.7589590,-80.2019909,"POLYGON((-80.2016565 25.7585764, -80.2023045 25.7593555, -80.2023253 25.7593415, -80.2016773 25.7585624, -80.2016565 25.7585764))",Southwest 19th Road,left,108.4,13,
Southwest 19th Road (right),25.7590085,-80.2019175,"POLYGON((-80.2015831 25.7586260, -80.2022311 25.7594051, -80.2022519 25.7593911, -80.2016039 25.7586120, -80.2015831 25.7586260))",Southwest 19th Road,right,108.4,13,
Southwest 19th Road (left),25.7600644,-80.2029191,"POLYGON((-80.2024104 25.7594823, -80.2034072 25.7606607, -80.2034278 25.7606465, -80.2024310 25.7594682, -80.2024104 25.7594823))",Southwest 19th Road,left,164.9,22,
Southwest 19th Road (right),25.7601145,-80.2028461,"POLYGON((-80.2023374 25.7595324, -80.2033342 25.7607107, -80.2033548 25.7606966, -80.2023580 25.7595182, -80.2023374 25.7595324))",Southwest 19th Road,right,164.9,22,
Southwest 19th Road (left),25.7612654,-80.2039299,"POLYGON((-80.2034494 25.7607074, -80.2043897 25.7618374, -80.2044104 25.7618234, -80.2034702 25.7606934, -80.2034494 25.7607074))",Southwest 19th Road,left,157.2,21,
Southwest 19th Road (right),25.7613150,-80.2038565,"POLYGON((-80.2033760 25.7607570, -80.2043162 25.7618870, -80.2043370 25.7618730, -80.2033967 25.7607430, -80.2033760 25.7607570))",Southwest 19th Road,right,157.2,21,
Southwest 19th Road (left),25.7624763,-80.2048756,"POLYGON((-80.2043840 25.7618296, -80.2053456 25.7631358, -80.2053672 25.7631229, -80.2044056 25.7618167, -80.2043840 25.7618296))",Southwest 19th Road,left,174.5,23,
Southwest 19th Road (right),25.7625219,-80.2047991,"POLYGON((-80.2043075 25.7618753, -80.2052691 25.7631815, -80.2052907 25.7631686, -80.2043291 25.7618624, -80.2043075 25.7618753))",Southwest 19th Road,right,174.5,23,
Southwest 19th Road (left),25.7560066,-80.1995025,"POLYGON((-80.1989773 25.7553914, -80.2000070 25.7566357, -80.2000278 25.7566217, -80.1989981 25.7553774, -80.1989773 25.7553914))",Southwest 19th Road,left,172.8,23,
Southwest 19th Road (right),25.7560559,-80.1994290,"POLYGON((-80.1989037 25.7554408, -80.1999334 25.7566851, -80.1999542 25.7566711, -80.1989245 25.7554268, -80.1989037 25.7554408))",Southwest 19th Road,right,172.8,23,
Northeast 3rd Avenue (left),25.7747918,-80.1886565,"POLYGON((-80.1886176 25.7743087, -80.1886695 25.7752761, -80.1886954 25.7752749, -80.1886435 25.7743075, -80.1886176 25.7743087))",Northeast 3rd Avenue,left,107.8,13,
Northeast 3rd Avenue (right),25.7747958,-80.1885648,"POLYGON((-80.1885259 25.7743127, -80.1885778 25.7752801, -80.1886037 25.7752789, -80.1885518 25.7743115, -80.1885259 25.7743127))",Northeast 3rd Avenue,right,107.8,13,
Northeast 3rd Avenue (left),25.7757601,-80.1886996,"POLYGON((-80.1886695 25.7752766, -80.1887037 25.7762445, -80.1887296 25.7762437, -80.1886954 25.7752758, -80.1886695 25.7752766))",Northeast 3rd Avenue,left,107.8,13,
Northeast 3rd Avenue (right),25.7757628,-80.1886078,"POLYGON((-80.1885778 25.7752792, -80.1886120 25.7762471, -80.1886379 25.7762463, -80.1886037 25.7752784, -80.1885778 25.7752792))",Northeast 3rd Avenue,right,107.8,13,
Northwest 9th Street (left),25.7825228,-80.2022151,"POLYGON((-80.2013963 25.7825510, -80.2030346 25.7825180, -80.2030340 25.7824947, -80.2013957 25.7825276, -80.2013963 25.7825510))",Northwest 9th Street,left,164.3,22,
Northwest 9th Street (right),25.7826055,-80.2022172,"POLYGON((-80.2013983 25.7826336, -80.2030366 25.7826007, -80.2030360 25.7825773, -80.2013977 25.7826103, -80.2013983 25.7826336))",Northwest 9th Street,right,164.3,22,
Northwest 18th Street (left),25.7923611,-80.2095982,"POLYGON((-80.2089490 25.7923907, -80.2102482 25.7923549, -80.2102474 25.7923315, -80.2089482 25.7923673, -80.2089490 25.7923907))",Northwest 18th Street,left,130.3,17,
Northwest 18th Street (right),25.7924437,-80.2096010,"POLYGON((-80.2089518 25.7924733, -80.2102510 25.7924375, -80.2102502 25.7924141, -80.2089510 25.7924499, -80.2089518 25.7924733))",Northwest 18th Street,right,130.3,17,
Northwest 18th Street (left),25.7922719,-80.2079623,"POLYGON((-80.2069781 25.7923145, -80.2089475 25.7922527, -80.2089465 25.7922293, -80.2069771 25.7922911, -80.2069781 25.7923145))",Northwest 18th Street,left,197.5,27,
Northwest 18th Street (right),25.7923545,-80.2079655,"POLYGON((-80.2069813 25.7923971, -80.2089507 25.7923353, -80.2089497 25.7923119, -80.2069803 25.7923737, -80.2069813 25.7923971))",Northwest 18th Street,right,197.5,27,
Northwest 18th Street (left),25.7928492,-80.1961946,"POLYGON((-80.1957323 25.7928824, -80.1966583 25.7928394, -80.1966570 25.7928161, -80.1957310 25.7928591, -80.1957323 25.7928824))",Northwest 18th Street,left,92.9,11,
