name,latitude,longitude,wkt,street,side,length_m,est_spaces,zone
Herald Plaza (left),25.7889670,-80.1865644,"POLYGON((-80.1865258 25.7883184, -80.1865770 25.7896163, -80.1866029 25.7896155, -80.1865517 25.7883176, -80.1865258 25.7883184))",Herald Plaza,left,144.6,19,
Herald Plaza (right),25.7889699,-80.1864726,"POLYGON((-80.1864341 25.7883214, -80.1864853 25.7896193, -80.1865112 25.7896185, -80.1864600 25.7883206, -80.1864341 25.7883214))",Herald Plaza,right,144.6,19,
Northeast 3rd Street (left),25.7770768,-80.1912005,"POLYGON((-80.1903636 25.7771115, -80.1920382 25.7770655, -80.1920374 25.7770421, -80.1903628 25.7770881, -80.1903636 25.7771115))",Northeast 3rd Street,left,167.9,22,
Northeast 3rd Street (right),25.7771594,-80.1912033,"POLYGON((-80.1903664 25.7771941, -80.1920410 25.7771481, -80.1920402 25.7771247, -80.1903656 25.7771707, -80.1903664 25.7771941))",Northeast 3rd Street,right,167.9,22,
Northeast 3rd Street (left),25.7770256,-80.1928785,"POLYGON((-80.1920380 25.7770655, -80.1937201 25.7770091, -80.1937191 25.7769857, -80.1920370 25.7770421, -80.1920380 25.7770655))",Northeast 3rd Street,left,168.7,22,
Northeast 3rd Street (right),25.7771082,-80.1928820,"POLYGON((-80.1920414 25.7771481, -80.1937235 25.7770917, -80.1937225 25.7770683, -80.1920404 25.7771247, -80.1920414 25.7771481))",Northeast 3rd Street,right,168.7,22,
Northwest 1st Avenue (left),25.7832437,-80.1958693,"POLYGON((-80.1958927 25.7837222, -80.1958718 25.7827647, -80.1958459 25.7827651, -80.1958668 25.7837226, -80.1958927 25.7837222))",Northwest 1st Avenue,left,106.6,13,
Northwest 1st Avenue (right),25.7832420,-80.1959610,"POLYGON((-80.1959844 25.7837206, -80.1959635 25.7827631, -80.1959376 25.7827635, -80.1959585 25.7837210, -80.1959844 25.7837206))",Northwest 1st Avenue,right,106.6,13,
Northwest 1st Avenue (left),25.7822823,-80.1958350,"POLYGON((-80.1958718 25.7827654, -80.1958241 25.7817981, -80.1957982 25.7817992, -80.1958459 25.7827665, -80.1958718 25.7827654))",Northwest 1st Avenue,left,107.8,13,
Northwest 1st Avenue (right),25.7822786,-80.1959267,"POLYGON((-80.1959635 25.7827617, -80.1959158 25.7817944, -80.1958899 25.7817955, -80.1959376 25.7827628, -80.1959635 25.7827617))",Northwest 1st Avenue,right,107.8,13,
Northwest 1st Avenue (left),25.7808391,-80.1955696,"POLYGON((-80.1953340 25.7798732, -80.1957798 25.7818097, -80.1958052 25.7818050, -80.1953594 25.7798684, -80.1953340 25.7798732))",Northwest 1st Avenue,left,220.2,30,
Northwest 1st Avenue (right),25.7808558,-80.1954798,"POLYGON((-80.1952442 25.7798899, -80.1956900 25.7818265, -80.1957154 25.7818217, -80.1952696 25.7798852, -80.1952442 25.7798899))",Northwest 1st Avenue,right,220.2,30,
Northwest 8th Street (left),25.7817024,-80.2003651,"POLYGON((-80.2004669 25.7816889, -80.2002627 25.7816925, -80.2002633 25.7817159, -80.2004675 25.7817123, -80.2004669 25.7816889))",Northwest 8th Street,left,20.5,0,
Northwest 8th Street (right),25.7816198,-80.2003633,"POLYGON((-80.2004651 25.7816063, -80.2002609 25.7816099, -80.2002615 25.7816333, -80.2004657 25.7816297, -80.2004651 25.7816063))",Northwest 8th Street,right,20.5,0,
Northwest 8th Street (left),25.7817405,-80.1988380,"POLYGON((-80.1996881 25.7817050, -80.1979871 25.7817525, -80.1979879 25.7817759, -80.1996889 25.7817284, -80.1996881 25.7817050))",Northwest 8th Street,left,170.6,23,
Northwest 8th Street (right),25.7816578,-80.1988352,"POLYGON((-80.1996853 25.7816224, -80.1979843 25.7816699, -80.1979851 25.7816933, -80.1996861 25.7816458, -80.1996853 25.7816224))",Northwest 8th Street,right,170.6,23,
Northeast 8th Street (left),25.7820298,-80.1894187,"POLYGON((-80.1895460 25.7820194, -80.1892917 25.7820168, -80.1892914 25.7820402, -80.1895457 25.7820428, -80.1895460 25.7820194))",Northeast 8th Street,left,25.5,1,
Northeast 8th Street (right),25.7819472,-80.1894198,"POLYGON((-80.1895471 25.7819368, -80.1892928 25.7819342, -80.1892925 25.7819576, -80.1895468 25.7819602, -80.1895471 25.7819368))",Northeast 8th Street,right,25.5,1,
Northwest 17th Street (left),25.7915572,-80.2044166,"POLYGON((-80.2042913 25.7915731, -80.2045429 25.7915647, -80.2045419 25.7915413, -80.2042903 25.7915497, -80.2042913 25.7915731))",Northwest 17th Street,left,25.2,1,
Northwest 17th Street (right),25.7916398,-80.2044200,"POLYGON((-80.2042947 25.7916557, -80.2045463 25.7916473, -80.2045453 25.7916239, -80.2042937 25.7916323, -80.2042947 25.7916557))",Northwest 17th Street,right,25.2,1,
Northwest 19th Street (left),25.7935389,-80.2036881,"POLYGON((-80.2041571 25.7935460, -80.2032203 25.7935085, -80.2032192 25.7935319, -80.2041559 25.7935693, -80.2041571 25.7935460))",Northwest 19th Street,left,94.0,11,
Northwest 19th Street (right),25.7934564,-80.2036922,"POLYGON((-80.2041611 25.7934634, -80.2032244 25.7934260, -80.2032232 25.7934493, -80.2041600 25.7934868, -80.2041611 25.7934634))",Northwest 19th Street,right,94.0,11,
Northwest 19th Street (left),25.7935193,-80.2019007,"POLYGON((-80.2024198 25.7935106, -80.2013818 25.7935046, -80.2013816 25.7935280, -80.2024196 25.7935340, -80.2024198 25.7935106))",Northwest 19th Street,left,104.0,13,
Northwest 19th Street (right),25.7934367,-80.2019013,"POLYGON((-80.2024204 25.7934280, -80.2013824 25.7934220, -80.2013822 25.7934454, -80.2024202 25.7934514, -80.2024204 25.7934280))",Northwest 19th Street,right,104.0,13,
Northwest 19th Street (left),25.7935266,-80.2008502,"POLYGON((-80.2013827 25.7935046, -80.2003171 25.7935251, -80.2003177 25.7935485, -80.2013833 25.7935280, -80.2013827 25.7935046))",Northwest 19th Street,left,106.8,13,
Northwest 19th Street (right),25.7934439,-80.2008482,"POLYGON((-80.2013807 25.7934220, -80.2003151 25.7934425, -80.2003157 25.7934659, -80.2013813 25.7934454, -80.2013807 25.7934220))",Northwest 19th Street,right,106.8,13,
Northwest 2nd Avenue (left),25.7822082,-80.1980454,"POLYGON((-80.1980190 25.7817222, -80.1980458 25.7826949, -80.1980717 25.7826943, -80.1980449 25.7817216, -80.1980190 25.7817222))",Northwest 2nd Avenue,left,108.3,13,
Northwest 2nd Avenue (right),25.7822103,-80.1979536,"POLYGON((-80.1979273 25.7817242, -80.1979541 25.7826969, -80.1979800 25.7826963, -80.1979532 25.7817236, -80.1979273 25.7817242))",Northwest 2nd Avenue,right,108.3,13,
Northwest 2nd Avenue (left),25.7802900,-80.1979804,"POLYGON((-80.1979441 25.7798124, -80.1979908 25.7807687, -80.1980167 25.7807676, -80.1979700 25.7798114, -80.1979441 25.7798124))",Northwest 2nd Avenue,left,106.6,13,
Northwest 2nd Avenue (right),25.7802937,-80.1978887,"POLYGON((-80.1978524 25.7798161, -80.1978991 25.7807723, -80.1979250 25.7807713, -80.1978783 25.7798150, -80.1978524 25.7798161))",Northwest 2nd Avenue,right,106.6,13,
Northwest 2nd Avenue (left),25.7812453,-80.1980179,"POLYGON((-80.1979908 25.7807691, -80.1980190 25.7817222, -80.1980449 25.7817215, -80.1980167 25.7807684, -80.1979908 25.7807691))",Northwest 2nd Avenue,left,106.1,13,
Northwest 2nd Avenue (right),25.7812475,-80.1979261,"POLYGON((-80.1978991 25.7807713, -80.1979273 25.7817244, -80.1979532 25.7817237, -80.1979250 25.7807706, -80.1978991 25.7807713))",Northwest 2nd Avenue,right,106.1,13,
Northwest 4th Court (left),25.7938046,-80.2024752,"POLYGON((-80.2024529 25.7934802, -80.2024716 25.7941296, -80.2024975 25.7941290, -80.2024788 25.7934796, -80.2024529 25.7934802))",Northwest 4th Court,left,72.3,8,
Northwest 4th Court (right),25.7938068,-80.2023835,"POLYGON((-80.2023612 25.7934824, -80.2023799 25.7941318, -80.2024058 25.7941312, -80.2023871 25.7934818, -80.2023612 25.7934824))",Northwest 4th Court,right,72.3,8,
Northwest 4th Court (left),25.7943906,-80.2024921,"POLYGON((-80.2024716 25.7941296, -80.2024867 25.7946522, -80.2025126 25.7946515, -80.2024975 25.7941290, -80.2024716 25.7941296))",Northwest 4th Court,left,58.2,6,
Northwest 4th Court (right),25.7943927,-80.2024004,"POLYGON((-80.2023799 25.7941318, -80.2023950 25.7946543, -80.2024209 25.7946537, -80.2024058 25.7941311, -80.2023799 25.7941318))",Northwest 4th Court,right,58.2,6,
Northwest 4th Court (left),25.7949745,-80.2025075,"POLYGON((-80.2024867 25.7946522, -80.2025023 25.7952973, -80.2025283 25.7952968, -80.2025127 25.7946517, -80.2024867 25.7946522))",Northwest 4th Court,left,71.8,8,
Northwest 4th Court (right),25.7949763,-80.2024157,"POLYGON((-80.2023949 25.7946540, -80.2024105 25.7952991, -80.2024365 25.7952986, -80.2024209 25.7946535, -80.2023949 25.7946540))",Northwest 4th Court,right,71.8,8,
Northwest 5th Avenue (left),25.7811040,-80.2029400,"POLYGON((-80.2029720 25.7815828, -80.2029339 25.7806244, -80.2029080 25.7806252, -80.2029461 25.7815836, -80.2029720 25.7815828))",Northwest 5th Avenue,left,106.8,13,
Northwest 5th Avenue (right),25.7811010,-80.2030317,"POLYGON((-80.2030637 25.7815798, -80.2030256 25.7806214, -80.2029997 25.7806222, -80.2030378 25.7815806, -80.2030637 25.7815798))",Northwest 5th Avenue,right,106.8,13,
Northwest 5th Avenue (left),25.7801420,-80.2029041,"POLYGON((-80.2029339 25.7806242, -80.2029003 25.7796591, -80.2028744 25.7796599, -80.2029080 25.7806250, -80.2029339 25.7806242))",Northwest 5th Avenue,left,107.5,13,
Northwest 5th Avenue (right),25.7801395,-80.2029959,"POLYGON((-80.2030256 25.7806216, -80.2029920 25.7796565, -80.2029661 25.7796573, -80.2029997 25.7806224, -80.2030256 25.7806216))",Northwest 5th Avenue,right,107.5,13,
Northwest 8th Street (left),25.7816022,-80.2009960,"POLYGON((-80.2006648 25.7816245, -80.2013280 25.7816033, -80.2013271 25.7815799, -80.2006639 25.7816011, -80.2006648 25.7816245))",Northwest 8th Street,left,66.5,7,
Northwest 8th Street (right),25.7816848,-80.2009992,"POLYGON((-80.2006681 25.7817071, -80.2013313 25.7816859, -80.2013304 25.7816625, -80.2006672 25.7816837, -80.2006681 25.7817071))",Northwest 8th Street,right,66.5,7,
Northwest 8th Street (left),25.7815660,-80.2021655,"POLYGON((-80.2013281 25.7816033, -80.2030038 25.7815521, -80.2030029 25.7815287, -80.2013272 25.7815799, -80.2013281 25.7816033))",Northwest 8th Street,left,168.1,22,
Northwest 8th Street (right),25.7816486,-80.2021686,"POLYGON((-80.2013312 25.7816859, -80.2030069 25.7816347, -80.2030060 25.7816113, -80.2013303 25.7816625, -80.2013312 25.7816859))",Northwest 8th Street,right,168.1,22,
Northwest 8th Street (left),25.7817809,-80.1974596,"POLYGON((-80.1979873 25.7817525, -80.1969310 25.7817860, -80.1969320 25.7818094, -80.1979882 25.7817759, -80.1979873 25.7817525))",Northwest 8th Street,left,105.9,13,
Northwest 8th Street (right),25.7816984,-80.1974564,"POLYGON((-80.1979840 25.7816699, -80.1969278 25.7817034, -80.1969287 25.7817268, -80.1979850 25.7816933, -80.1979840 25.7816699))",Northwest 8th Street,right,105.9,13,
Northwest 8th Street (left),25.7818124,-80.1965176,"POLYGON((-80.1969312 25.7817860, -80.1961030 25.7818154, -80.1961040 25.7818388, -80.1969322 25.7818094, -80.1969312 25.7817860))",Northwest 8th Street,left,83.1,10,
Northwest 8th Street (right),25.7817298,-80.1965140,"POLYGON((-80.1969276 25.7817034, -80.1960994 25.7817328, -80.1961004 25.7817562, -80.1969286 25.7817268, -80.1969276 25.7817034))",Northwest 8th Street,right,83.1,10,
Northwest 8th Street Road (left),25.7838798,-80.2092717,"POLYGON((-80.2095536 25.7841168, -80.2090081 25.7836264, -80.2089898 25.7836429, -80.2095352 25.7841333, -80.2095536 25.7841168))",Northwest 8th Street Road,left,77.3,9,
Northwest 8th Street Road (right),25.7838214,-80.2093365,"POLYGON((-80.2096184 25.7840583, -80.2090730 25.7835679, -80.2090546 25.7835844, -80.2096001 25.7840748, -80.2096184 25.7840583))",Northwest 8th Street Road,right,77.3,9,
Northwest 9th Street (left),25.7826037,-80.1998368,"POLYGON((-80.1996964 25.7826184, -80.1999777 25.7826125, -80.1999771 25.7825891, -80.1996958 25.7825950, -80.1996964 25.7826184))",Northwest 9th Street,left,28.2,1,
Northwest 9th Street (right),25.7826864,-80.1998389,"POLYGON((-80.1996986 25.7827010, -80.1999799 25.7826951, -80.1999793 25.7826717, -80.1996980 25.7826776, -80.1996986 25.7827010))",Northwest 9th Street,right,28.2,1,
Northwest 9th Street (left),25.7826400,-80.1984352,"POLYGON((-80.1980117 25.7826660, -80.1988598 25.7826374, -80.1988588 25.7826140, -80.1980107 25.7826426, -80.1980117 25.7826660))",Northwest 9th Street,left,85.1,10,
Northwest 9th Street (right),25.7827226,-80.1984387,"POLYGON((-80.1980151 25.7827486, -80.1988632 25.7827200, -80.1988622 25.7826966, -80.1980141 25.7827252, -80.1980151 25.7827486))",Northwest 9th Street,right,85.1,10,
Northwest 9th Street (left),25.7826162,-80.1992779,"POLYGON((-80.1988602 25.7826374, -80.1996964 25.7826184, -80.1996957 25.7825950, -80.1988595 25.7826140, -80.1988602 25.7826374))",Northwest 9th Street,left,83.8,10,
Northwest 9th Street (right),25.7826988,-80.1992803,"POLYGON((-80.1988625 25.7827200, -80.1996987 25.7827010, -80.1996980 25.7826776, -80.1988618 25.7826966, -80.1988625 25.7827200))",Northwest 9th Street,right,83.8,10,
North Bayshore Drive (left),25.7928337,-80.1867881,"POLYGON((-80.1871201 25.7919986, -80.1864317 25.7936606, -80.1864560 25.7936687, -80.1871444 25.7920068, -80.1871201 25.7919986))",North Bayshore Drive,left,197.5,27,
North Bayshore Drive (right),25.7928048,-80.1867020,"POLYGON((-80.1870341 25.7919698, -80.1863457 25.7936317, -80.1863700 25.7936399, -80.1870584 25.7919779, -80.1870341 25.7919698))",North Bayshore Drive,right,197.5,27,
North Bayshore Drive (left),25.7944228,-80.1867954,"POLYGON((-80.1864342 25.7936504, -80.1871326 25.7952040, -80.1871567 25.7951952, -80.1864583 25.7936416, -80.1864342 25.7936504))",North Bayshore Drive,left,186.6,25,
North Bayshore Drive (right),25.7944538,-80.1867104,"POLYGON((-80.1863491 25.7936814, -80.1870475 25.7952350, -80.1870716 25.7952262, -80.1863732 25.7936726, -80.1863491 25.7936814))",North Bayshore Drive,right,186.6,25,
North Bayshore Drive (left),25.7913730,-80.1871690,"POLYGON((-80.1872495 25.7921434, -80.1871145 25.7906009, -80.1870886 25.7906027, -80.1872236 25.7921452, -80.1872495 25.7921434))",North Bayshore Drive,left,172.2,23,
North Bayshore Drive (right),25.7913666,-80.1872606,"POLYGON((-80.1873410 25.7921369, -80.1872060 25.7905944, -80.1871801 25.7905962, -80.1873151 25.7921387, -80.1873410 25.7921369))",North Bayshore Drive,right,172.2,23,
North Bayshore Drive (left),25.7901028,-80.1871241,"POLYGON((-80.1871145 25.7906165, -80.1871596 25.7895899, -80.1871337 25.7895890, -80.1870885 25.7906156, -80.1871145 25.7906165))",North Bayshore Drive,left,114.4,14,
North Bayshore Drive (right),25.7901060,-80.1872158,"POLYGON((-80.1872062 25.7906198, -80.1872514 25.7895932, -80.1872254 25.7895923, -80.1871803 25.7906189, -80.1872062 25.7906198))",North Bayshore Drive,right,114.4,14,
North Bayshore Drive (left),25.7892398,-80.1873734,"POLYGON((-80.1873241 25.7893290, -80.1874445 25.7891634, -80.1874228 25.7891506, -80.1873024 25.7893162, -80.1873241 25.7893290))",North Bayshore Drive,left,22.0,1,
North Bayshore Drive (right),25.7892850,-80.1874502,"POLYGON((-80.1874008 25.7893742, -80.1875212 25.7892086, -80.1874995 25.7891958, -80.1873791 25.7893614, -80.1874008 25.7893742))",North Bayshore Drive,right,22.0,1,
North Bayshore Drive (left),25.7894541,-80.1872317,"POLYGON((-80.1871632 25.7895888, -80.1873229 25.7893307, -80.1873002 25.7893194, -80.1871405 25.7895775, -80.1871632 25.7895888))",North Bayshore Drive,left,32.9,2,
North Bayshore Drive (right),25.7894943,-80.1873119,"POLYGON((-80.1872434 25.7896290, -80.1874031 25.7893709, -80.1873804 25.7893596, -80.1872207 25.7896177, -80.1872434 25.7896290))",North Bayshore Drive,right,32.9,2,
North Bayshore Drive (left),25.7873688,-80.1880089,"POLYGON((-80.1880216 25.7870727, -80.1879702 25.7876630, -80.1879961 25.7876649, -80.1880475 25.7870745, -80.1880216 25.7870727))",North Bayshore Drive,left,65.9,7,
North Bayshore Drive (right),25.7873623,-80.1879173,"POLYGON((-80.1879301 25.7870662, -80.1878787 25.7876566, -80.1879046 25.7876584, -80.1879560 25.7870681, -80.1879301 25.7870662))",North Bayshore Drive,right,65.9,7,
North Bayshore Drive (left),25.7879731,-80.1879722,"POLYGON((-80.1879712 25.7876504, -80.1879472 25.7882950, -80.1879731 25.7882958, -80.1879972 25.7876512, -80.1879712 25.7876504))",North Bayshore Drive,left,71.8,8,
North Bayshore Drive (right),25.7879703,-80.1878804,"POLYGON((-80.1878795 25.7876476, -80.1878554 25.7882922, -80.1878814 25.7882930, -80.1879054 25.7876484, -80.1878795 25.7876476))",North Bayshore Drive,right,71.8,8,
North Bayshore Drive (left),25.7879672,-80.1880040,"POLYGON((-80.1880029 25.7882914, -80.1880311 25.7876440, -80.1880051 25.7876431, -80.1879770 25.7882905, -80.1880029 25.7882914))",North Bayshore Drive,left,72.1,8,
North Bayshore Drive (right),25.7879705,-80.1880958,"POLYGON((-80.1880947 25.7882946, -80.1881228 25.7876472, -80.1880969 25.7876463, -80.1880687 25.7882937, -80.1880947 25.7882946))",North Bayshore Drive,right,72.1,8,
North Bayshore Drive (left),25.7886677,-80.1877566,"POLYGON((-80.1875234 25.7890786, -80.1880125 25.7882680, -80.1879897 25.7882568, -80.1875006 25.7890675, -80.1875234 25.7890786))",North Bayshore Drive,left,102.7,13,
North Bayshore Drive (right),25.7887072,-80.1878372,"POLYGON((-80.1876041 25.7891181, -80.1880932 25.7883074, -80.1880704 25.7882963, -80.1875813 25.7891069, -80.1876041 25.7891181))",North Bayshore Drive,right,102.7,13,
Northeast 14th Street (left),25.7883168,-80.1885967,"POLYGON((-80.1891557 25.7882893, -80.1880369 25.7883209, -80.1880377 25.7883443, -80.1891565 25.7883127, -80.1891557 25.7882893))",Northeast 14th Street,left,112.2,14,
Northeast 14th Street (right),25.7882342,-80.1885939,"POLYGON((-80.1891529 25.7882067, -80.1880341 25.7882383, -80.1880349 25.7882617, -80.1891537 25.7882301, -80.1891529 25.7882067))",Northeast 14th Street,right,112.2,14,
Northeast 14th Street (left),25.7883477,-80.1872045,"POLYGON((-80.1879150 25.7883228, -80.1864936 25.7883491, -80.1864941 25.7883725, -80.1879155 25.7883462, -80.1879150 25.7883228))",Northeast 14th Street,left,142.5,19,
Northeast 14th Street (right),25.7882650,-80.1872027,"POLYGON((-80.1879131 25.7882402, -80.1864917 25.7882665, -80.1864922 25.7882899, -80.1879136 25.7882636, -80.1879131 25.7882402))",Northeast 14th Street,right,142.5,19,
Northeast 18th Street (left),25.7936496,-80.1868628,"POLYGON((-80.1864211 25.7936726, -80.1873053 25.7936501, -80.1873045 25.7936267, -80.1864203 25.7936492, -80.1864211 25.7936726))",Northeast 18th Street,left,88.7,10,
Northeast 18th Street (right),25.7937323,-80.1868654,"POLYGON((-80.1864237 25.7937552, -80.1873079 25.7937327, -80.1873071 25.7937093, -80.1864229 25.7937318, -80.1864237 25.7937552))",Northeast 18th Street,right,88.7,10,
Northeast 18th Street (left),25.7936317,-80.1875676,"POLYGON((-80.1873053 25.7936501, -80.1878306 25.7936367, -80.1878298 25.7936133, -80.1873045 25.7936267, -80.1873053 25.7936501))",Northeast 18th Street,left,52.7,5,
Northeast 18th Street (right),25.7937143,-80.1875701,"POLYGON((-80.1873079 25.7937327, -80.1878332 25.7937193, -80.1878324 25.7936959, -80.1873071 25.7937093, -80.1873079 25.7937327))",Northeast 18th Street,right,52.7,5,
Northeast 18th Street (left),25.7936204,-80.1880107,"POLYGON((-80.1878306 25.7936367, -80.1881915 25.7936275, -80.1881907 25.7936041, -80.1878298 25.7936133, -80.1878306 25.7936367))",Northeast 18th Street,left,36.2,3,
Northeast 18th Street (right),25.7937030,-80.1880132,"POLYGON((-80.1878332 25.7937193, -80.1881941 25.7937101, -80.1881933 25.7936867, -80.1878324 25.7936959, -80.1878332 25.7937193))",Northeast 18th Street,right,36.2,3,
Northeast 18th Street (left),25.7936056,-80.1885923,"POLYGON((-80.1881915 25.7936275, -80.1889939 25.7936071, -80.1889931 25.7935837, -80.1881907 25.7936041, -80.1881915 25.7936275))",Northeast 18th Street,left,80.5,9,
Northeast 18th Street (right),25.7936882,-80.1885949,"POLYGON((-80.1881941 25.7937101, -80.1889965 25.7936897, -80.1889957 25.7936663, -80.1881933 25.7936867, -80.1881941 25.7937101))",Northeast 18th Street,right,80.5,9,
Northwest 1st Street (left),25.7748701,-80.1987888,"POLYGON((-80.1986754 25.7749130, -80.1989098 25.7748496, -80.1989023 25.7748272, -80.1986679 25.7748906, -80.1986754 25.7749130))",Northwest 1st Street,left,24.5,1,
Northwest 1st Street (right),25.7749493,-80.1988153,"POLYGON((-80.1987018 25.7749922, -80.1989362 25.7749288, -80.1989287 25.7749064, -80.1986943 25.7749698, -80.1987018 25.7749922))",Northwest 1st Street,right,24.5,1,
Northwest 3rd Avenue (left),25.7755249,-80.1992086,"POLYGON((-80.1990399 25.7751507, -80.1993529 25.7759072, -80.1993772 25.7758991, -80.1990642 25.7751425, -80.1990399 25.7751507))",Northwest 3rd Avenue,left,89.9,11,
Northwest 3rd Avenue (right),25.7755537,-80.1991225,"POLYGON((-80.1989539 25.7751795, -80.1992669 25.7759361, -80.1992912 25.7759279, -80.1989782 25.7751714, -80.1989539 25.7751795))",Northwest 3rd Avenue,right,89.9,11,
Northwest 3rd Street (left),25.7769320,-80.1991223,"POLYGON((-80.1995024 25.7769080, -80.1987414 25.7769326, -80.1987423 25.7769560, -80.1995033 25.7769314, -80.1995024 25.7769080))",Northwest 3rd Street,left,76.3,9,
Northwest 3rd Street (right),25.7768494,-80.1991191,"POLYGON((-80.1994991 25.7768254, -80.1987381 25.7768500, -80.1987390 25.7768734, -80.1995000 25.7768488, -80.1994991 25.7768254))",Northwest 3rd Street,right,76.3,9,
Northwest 1st Avenue (left),25.7887603,-80.1965965,"POLYGON((-80.1965512 25.7881939, -80.1966158 25.7893280, -80.1966417 25.7893268, -80.1965771 25.7881927, -80.1965512 25.7881939))",Northwest 1st Avenue,left,126.4,16,
Northwest 1st Avenue (right),25.7887646,-80.1965048,"POLYGON((-80.1964596 25.7881981, -80.1965242 25.7893322, -80.1965501 25.7893310, -80.1964855 25.7881969, -80.1964596 25.7881981))",Northwest 1st Avenue,right,126.4,16,
Northwest 1st Avenue (left),25.7898896,-80.1966412,"POLYGON((-80.1966157 25.7893263, -80.1966407 25.7904534, -80.1966667 25.7904529, -80.1966417 25.7893258, -80.1966157 25.7893263))",Northwest 1st Avenue,left,125.5,16,
Northwest 1st Avenue (right),25.7898913,-80.1965494,"POLYGON((-80.1965239 25.7893280, -80.1965489 25.7904551, -80.1965749 25.7904546, -80.1965499 25.7893275, -80.1965239 25.7893280))",Northwest 1st Avenue,right,125.5,16,
Northwest 1st Avenue (left),25.7910177,-80.1966676,"POLYGON((-80.1966407 25.7904533, -80.1966686 25.7915826, -80.1966945 25.7915821, -80.1966666 25.7904528, -80.1966407 25.7904533))",Northwest 1st Avenue,left,125.7,16,
Northwest 1st Avenue (right),25.7910196,-80.1965759,"POLYGON((-80.1965490 25.7904552, -80.1965769 25.7915845, -80.1966028 25.7915840, -80.1965749 25.7904547, -80.1965490 25.7904552))",Northwest 1st Avenue,right,125.7,16,
Northwest 1st Avenue (left),25.7922254,-80.1966937,"POLYGON((-80.1966686 25.7915828, -80.1966929 25.7928685, -80.1967189 25.7928681, -80.1966946 25.7915824, -80.1966686 25.7915828))",Northwest 1st Avenue,left,143.1,19,
Northwest 1st Avenue (right),25.7922269,-80.1966020,"POLYGON((-80.1965768 25.7915842, -80.1966011 25.7928699, -80.1966271 25.7928695, -80.1966028 25.7915838, -80.1965768 25.7915842))",Northwest 1st Avenue,right,143.1,19,
Northwest 1st Avenue (left),25.7935174,-80.1967344,"POLYGON((-80.1966929 25.7928678, -80.1967499 25.7941678, -80.1967758 25.7941669, -80.1967188 25.7928669, -80.1966929 25.7928678))",Northwest 1st Avenue,left,144.8,19,
Northwest 1st Avenue (right),25.7935206,-80.1966426,"POLYGON((-80.1966012 25.7928711, -80.1966582 25.7941711, -80.1966841 25.7941702, -80.1966271 25.7928702, -80.1966012 25.7928711))",Northwest 1st Avenue,right,144.8,19,
Southwest 5th Avenue (left),25.7666305,-80.2024977,"POLYGON((-80.2024679 25.7661509, -80.2025016 25.7671109, -80.2025275 25.7671101, -80.2024938 25.7661502, -80.2024679 25.7661509))",Southwest 5th Avenue,left,106.9,13,
Southwest 5th Avenue (right),25.7666332,-80.2024060,"POLYGON((-80.2023762 25.7661536, -80.2024099 25.7671135, -80.2024358 25.7671128, -80.2024021 25.7661528, -80.2023762 25.7661536))",Southwest 5th Avenue,right,106.9,13,
Southwest 6th Avenue (left),25.7656187,-80.2040394,"POLYGON((-80.2040712 25.7660993, -80.2040336 25.7651373, -80.2040077 25.7651382, -80.2040453 25.7661001, -80.2040712 25.7660993))",Southwest 6th Avenue,left,107.1,13,
Southwest 6th Avenue (right),25.7656158,-80.2041312,"POLYGON((-80.2041629 25.7660963, -80.2041253 25.7651344, -80.2040994 25.7651352, -80.2041370 25.7660972, -80.2041629 25.7660963))",Southwest 6th Avenue,right,107.1,13,
Southwest 6th Avenue (left),25.7646559,-80.2040036,"POLYGON((-80.2040336 25.7651372, -80.2039995 25.7641737, -80.2039736 25.7641745, -80.2040077 25.7651380, -80.2040336 25.7651372))",Southwest 6th Avenue,left,107.3,13,
Southwest 6th Avenue (right),25.7646532,-80.2040953,"POLYGON((-80.2041253 25.7651346, -80.2040912 25.7641711, -80.2040653 25.7641719, -80.2040994 25.7651354, -80.2041253 25.7651346))",Southwest 6th Avenue,right,107.3,13,
Southwest 6th Avenue (left),25.7636797,-80.2039782,"POLYGON((-80.2039995 25.7641738, -80.2039829 25.7631853, -80.2039569 25.7631856, -80.2039736 25.7641742, -80.2039995 25.7641738))",Southwest 6th Avenue,left,110.1,14,
Southwest 6th Avenue (right),25.7636785,-80.2040700,"POLYGON((-80.2040913 25.7641726, -80.2040746 25.7631840, -80.2040487 25.7631844, -80.2040653 25.7641729, -80.2040913 25.7641726))",Southwest 6th Avenue,right,110.1,14,
Northwest 1st Street (left),25.7746244,-80.2120607,"POLYGON((-80.2146877 25.7745308, -80.2094329 25.7746946, -80.2094338 25.7747180, -80.2146886 25.7745542, -80.2146877 25.7745308))",Northwest 1st Street,left,527.1,76,
Northwest 1st Street (right),25.7745418,-80.2120576,"POLYGON((-80.2146845 25.7744482, -80.2094297 25.7746120, -80.2094306 25.7746354, -80.2146854 25.7744716, -80.2146845 25.7744482))",Northwest 1st Street,right,527.1,76,
Northwest 1st Street (left),25.7747285,-80.2085997,"POLYGON((-80.2094330 25.7746946, -80.2077657 25.7747389, -80.2077664 25.7747623, -80.2094337 25.7747180, -80.2094330 25.7746946))",Northwest 1st Street,left,167.2,22,
